"Kod";"Nazwa";"Okresy";"Wykształcenie";"Wartość i precyzja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"1 kwartał";"ogółem";"wartość liczbowa";"2015";55,0;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"wartość liczbowa";"2016";55,4;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"wartość liczbowa";"2017";55,8;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"wartość liczbowa";"2018";55,6;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"wartość liczbowa";"2019";55,7;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"wartość liczbowa";"2020";56,1;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"wartość liczbowa";"2021";57,7;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"wartość liczbowa";"2022";58,4;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"wartość liczbowa";"2023";58,8;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"wartość liczbowa";"2024";58,5;"%";"";
0000000;"POLSKA";"1 kwartał";"wyższe";"wartość liczbowa";"2015";80,4;"%";"";
0000000;"POLSKA";"1 kwartał";"wyższe";"wartość liczbowa";"2016";80,6;"%";"";
0000000;"POLSKA";"1 kwartał";"wyższe";"wartość liczbowa";"2017";80,6;"%";"";
0000000;"POLSKA";"1 kwartał";"wyższe";"wartość liczbowa";"2018";80,8;"%";"";
0000000;"POLSKA";"1 kwartał";"wyższe";"wartość liczbowa";"2019";81,1;"%";"";
0000000;"POLSKA";"1 kwartał";"wyższe";"wartość liczbowa";"2020";80,8;"%";"";
0000000;"POLSKA";"1 kwartał";"wyższe";"wartość liczbowa";"2021";82,1;"%";"";
0000000;"POLSKA";"1 kwartał";"wyższe";"wartość liczbowa";"2022";82,1;"%";"";
0000000;"POLSKA";"1 kwartał";"wyższe";"wartość liczbowa";"2023";81,7;"%";"";
0000000;"POLSKA";"1 kwartał";"wyższe";"wartość liczbowa";"2024";81,9;"%";"";
0000000;"POLSKA";"1 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2015";63,8;"%";"";
0000000;"POLSKA";"1 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2016";64,1;"%";"";
0000000;"POLSKA";"1 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2017";63,4;"%";"";
0000000;"POLSKA";"1 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2018";62,2;"%";"";
0000000;"POLSKA";"1 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2019";61,4;"%";"";
0000000;"POLSKA";"1 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2020";61,0;"%";"";
0000000;"POLSKA";"1 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2021";61,3;"%";"";
0000000;"POLSKA";"1 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2022";62,4;"%";"";
0000000;"POLSKA";"1 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2023";61,2;"%";"";
0000000;"POLSKA";"1 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2024";60,3;"%";"";
0000000;"POLSKA";"1 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2015";48,9;"%";"";
0000000;"POLSKA";"1 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2016";50,6;"%";"";
0000000;"POLSKA";"1 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2017";51,1;"%";"";
0000000;"POLSKA";"1 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2018";51,5;"%";"";
0000000;"POLSKA";"1 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2019";52,0;"%";"";
0000000;"POLSKA";"1 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2020";52,2;"%";"";
0000000;"POLSKA";"1 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2021";53,6;"%";"";
