"Kod";"Nazwa";"Okresy";"Płeć";"Grupy wieku";"Wartość i precyzja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2015";55,0;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2016";55,4;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2017";55,8;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2018";55,6;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2019";55,7;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2020";56,1;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2021";57,7;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2022";58,4;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2023";58,8;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2024";58,5;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2015";32,5;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2016";34,2;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2017";34,0;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2018";34,9;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2019";33,7;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2020";34,0;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2021";30,8;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2022";31,7;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2023";32,2;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2024";31,5;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2015";85,6;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2016";85,3;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2017";84,7;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2018";84,4;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2019";85,5;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2020";85,0;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2021";86,1;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2022";86,3;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2023";88,3;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2024";88,5;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2015";85,1;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2016";85,6;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2017";86,3;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2018";86,4;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2019";86,4;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2020";86,5;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2021";89,1;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2022";89,7;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2023";89,9;"%";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2024";90,6;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2015";62,9;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2016";63,4;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2017";63,9;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2018";63,8;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2019";63,8;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2020";64,5;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2021";66,2;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2022";66,6;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2023";66,7;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2024";65,8;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2015";37,6;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2016";38,8;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2017";38,3;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2018";39,7;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2019";36,8;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2020";36,1;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2021";35,6;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2022";37,1;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2023";36,8;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2024";33,6;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2015";91,3;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2016";91,6;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2017";91,6;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2018";91,6;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2019";93,1;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2020";93,5;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2021";94,1;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2022";92,5;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2023";93,7;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2024";94,4;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2015";90,8;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2016";91,4;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2017";92,4;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2018";92,2;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2019";92,6;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2020";92,4;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2021";94,7;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2022";94,6;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2023";94,8;"%";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2024";94,9;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"ogółem";"wartość liczbowa";"2015";47,8;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"ogółem";"wartość liczbowa";"2016";48,0;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"ogółem";"wartość liczbowa";"2017";48,3;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"ogółem";"wartość liczbowa";"2018";48,2;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"ogółem";"wartość liczbowa";"2019";48,3;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"ogółem";"wartość liczbowa";"2020";48,4;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"ogółem";"wartość liczbowa";"2021";49,8;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"ogółem";"wartość liczbowa";"2022";50,9;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"ogółem";"wartość liczbowa";"2023";51,5;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"ogółem";"wartość liczbowa";"2024";51,7;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"15-24";"wartość liczbowa";"2015";27,2;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"15-24";"wartość liczbowa";"2016";29,4;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"15-24";"wartość liczbowa";"2017";29,5;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"15-24";"wartość liczbowa";"2018";29,9;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"15-24";"wartość liczbowa";"2019";30,4;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"15-24";"wartość liczbowa";"2020";31,8;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"15-24";"wartość liczbowa";"2021";25,7;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"15-24";"wartość liczbowa";"2022";26,0;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"15-24";"wartość liczbowa";"2023";27,4;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"15-24";"wartość liczbowa";"2024";29,2;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"25-34";"wartość liczbowa";"2015";79,7;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"25-34";"wartość liczbowa";"2016";78,6;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"25-34";"wartość liczbowa";"2017";77,5;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"25-34";"wartość liczbowa";"2018";76,8;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"25-34";"wartość liczbowa";"2019";77,6;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"25-34";"wartość liczbowa";"2020";76,0;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"25-34";"wartość liczbowa";"2021";77,7;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"25-34";"wartość liczbowa";"2022";79,7;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"25-34";"wartość liczbowa";"2023";82,7;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"25-34";"wartość liczbowa";"2024";82,4;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"35-44";"wartość liczbowa";"2015";79,3;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"35-44";"wartość liczbowa";"2016";79,6;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"35-44";"wartość liczbowa";"2017";80,1;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"35-44";"wartość liczbowa";"2018";80,5;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"35-44";"wartość liczbowa";"2019";80,0;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"35-44";"wartość liczbowa";"2020";80,4;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"35-44";"wartość liczbowa";"2021";83,2;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"35-44";"wartość liczbowa";"2022";84,7;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"35-44";"wartość liczbowa";"2023";84,8;"%";"";
0000000;"POLSKA";"1 kwartał";"kobiety";"35-44";"wartość liczbowa";"2024";86,2;"%";"";
